num_pathogenic_votes,total_variants,failure_rate,avg_predictors_failed
0,5594,0.04129424383267787,0.1651769753307115
1,2675,1.0,1.257196261682243
2,2005,1.0,2.0
3,2569,1.0,2.076683534449202
4,6021,0.13054309915296464,0.5221723966118585
