Predictor,Mean Distance When Correct,Mean Distance When Incorrect
SIFT,0.21299071184425622,0.07574768775434701
PolyPhen-2,0.4746038456198806,0.22897622252131003
CADD PHRED,9.17450264326496,4.536845199914476
REVEL,0.3533647242768657,0.18795973154362414
