Gene,total_variants,variants_with_any_failure,any_failure_rate,avg_predictors_failed,SIFT_failure_rate,PolyPhen_failure_rate,CADD_failure_rate,REVEL_failure_rate
TRIM32,3,2,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
TRIM33,1,1,1.0,2.0,1.0,0.0,1.0,0.0
TRIM34,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM36,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM38,1,1,1.0,2.0,0.0,1.0,1.0,0.0
TRIM42,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM44,2,2,1.0,2.0,1.0,0.0,1.0,0.0
TRIM49,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM5,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM55,2,1,0.5,0.5,0.0,0.0,0.5,0.0
TRIM6,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM65,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM68,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM69,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
TRIM7,2,0,0.0,0.0,0.0,0.0,0.0,0.0
TRIO,4,2,0.5,0.5,0.0,0.0,0.5,0.0
TRIP11,8,5,0.625,0.75,0.25,0.125,0.125,0.25
TRIP12,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TRIP13,1,1,1.0,4.0,1.0,1.0,1.0,1.0
TRMO,2,0,0.0,0.0,0.0,0.0,0.0,0.0
TRMT10B,1,1,1.0,1.0,0.0,0.0,1.0,0.0
TRMT10C,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TRMT13,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TRMT5,2,2,1.0,3.0,0.5,1.0,0.5,1.0
TRMT6,2,0,0.0,0.0,0.0,0.0,0.0,0.0
TRMT9B,3,0,0.0,0.0,0.0,0.0,0.0,0.0
TRMU,2,2,1.0,3.0,1.0,0.5,1.0,0.5
TRNT1,3,1,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
TRPA1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
TRPC6,2,1,0.5,0.5,0.5,0.0,0.0,0.0
TRPM1,2,2,1.0,3.0,1.0,0.5,1.0,0.5
TRPM2,3,2,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0
TRPM3,1,1,1.0,3.0,1.0,1.0,1.0,0.0
TRPM4,4,4,1.0,1.5,0.25,0.25,0.25,0.75
TRPM5,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TRPM6,2,2,1.0,2.0,1.0,0.5,0.5,0.0
TRPM8,1,1,1.0,2.0,1.0,0.0,1.0,0.0
TRPS1,1,1,1.0,1.0,1.0,0.0,0.0,0.0
TRPT1,2,1,0.5,0.5,0.5,0.0,0.0,0.0
TRPV1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
TRPV2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TRPV3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
TRPV4,17,9,0.5294117647058824,0.7647058823529411,0.29411764705882354,0.23529411764705882,0.11764705882352941,0.11764705882352941
TRUB2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TSBP1,4,4,1.0,1.5,0.75,0.75,0.0,0.0
TSC1,9,3,0.3333333333333333,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111
TSC2,39,21,0.5384615384615384,1.1794871794871795,0.2564102564102564,0.38461538461538464,0.28205128205128205,0.2564102564102564
TSEN15,2,1,0.5,1.0,0.5,0.0,0.5,0.0
TSEN2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TSEN34,2,1,0.5,1.0,0.5,0.0,0.0,0.5
TSEN54,2,1,0.5,1.0,0.0,0.5,0.5,0.0
TSFM,1,1,1.0,3.0,1.0,1.0,0.0,1.0
