Gene,total_variants,avg_predictors_failed,variants_with_any_failure,any_failure_rate
PROC,8,3.75,8,1.0
PRSS1,6,3.1666666666666665,6,1.0
FGA,6,3.0,6,1.0
DNASE1,5,3.0,5,1.0
GRM8,5,2.8,5,1.0
ALDOA,5,2.6,5,1.0
DNAJC13,7,2.5714285714285716,7,1.0
SMG1,7,2.5714285714285716,7,1.0
HBD,9,2.4444444444444446,9,1.0
BCR,5,2.4,5,1.0
