Gene,total_variants,avg_predictors_failed,variants_with_any_failure,any_failure_rate
HBB,115,2.965217391304348,112,0.9739130434782609
ABCA1,25,2.16,19,0.76
ALB,21,1.619047619047619,15,0.7142857142857143
TTN,74,1.6486486486486487,52,0.7027027027027027
BRCA1,40,1.45,28,0.7
ADGRD1,27,1.3703703703703705,17,0.6296296296296297
BRCA2,50,1.52,31,0.62
KCNH2,49,1.0612244897959184,30,0.6122448979591837
PKD1,28,1.3214285714285714,17,0.6071428571428571
PIK3CA,33,1.2727272727272727,20,0.6060606060606061
